ORDER_NUM,TRX_DT,RAW_TRX_DT,PRICE,CALC_VALUE,CALC_FORMULA,EXCEL_FORMULA,MEAN,SQUARE_OF_DIFF
"0","2019/05/10","5/10/2019 12:00:00 AM","$11.190","-0.0548","Natural Logarithm ($11.1900 / $11.8200)","=ln(D424/D423)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G424-H424)*(G424-H424)"
"0","2019/05/17","5/17/2019 12:00:00 AM","$10.810","-0.0345","Natural Logarithm ($10.8100 / $11.1900)","=ln(D425/D424)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G425-H425)*(G425-H425)"
"0","2019/05/24","5/24/2019 12:00:00 AM","$10.580","-0.0215","Natural Logarithm ($10.5800 / $10.8100)","=ln(D426/D425)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G426-H426)*(G426-H426)"
"0","2019/05/31","5/31/2019 12:00:00 AM","$10.410","-0.0162","Natural Logarithm ($10.4100 / $10.5800)","=ln(D427/D426)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G427-H427)*(G427-H427)"
"0","2019/06/07","6/7/2019 12:00:00 AM","$10.830","0.0396","Natural Logarithm ($10.8300 / $10.4100)","=ln(D428/D427)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G428-H428)*(G428-H428)"
"0","2019/06/14","6/14/2019 12:00:00 AM","$10.600","-0.0215","Natural Logarithm ($10.6000 / $10.8300)","=ln(D429/D428)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G429-H429)*(G429-H429)"
"0","2019/06/21","6/21/2019 12:00:00 AM","$10.820","0.0205","Natural Logarithm ($10.8200 / $10.6000)","=ln(D430/D429)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G430-H430)*(G430-H430)"
"0","2019/06/28","6/28/2019 12:00:00 AM","$11.150","0.0300","Natural Logarithm ($11.1500 / $10.8200)","=ln(D431/D430)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G431-H431)*(G431-H431)"
"0","2019/07/05","7/5/2019 12:00:00 AM","$11.290","0.0125","Natural Logarithm ($11.2900 / $11.1500)","=ln(D432/D431)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G432-H432)*(G432-H432)"
"0","2019/07/12","7/12/2019 12:00:00 AM","$11.240","-0.0044","Natural Logarithm ($11.2400 / $11.2900)","=ln(D433/D432)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G433-H433)*(G433-H433)"
"0","2019/07/19","7/19/2019 12:00:00 AM","$11.170","-0.0062","Natural Logarithm ($11.1700 / $11.2400)","=ln(D434/D433)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G434-H434)*(G434-H434)"
"0","2019/07/26","7/26/2019 12:00:00 AM","$11.270","0.0089","Natural Logarithm ($11.2700 / $11.1700)","=ln(D435/D434)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G435-H435)*(G435-H435)"
"0","2019/08/02","8/2/2019 12:00:00 AM","$11.110","-0.0143","Natural Logarithm ($11.1100 / $11.2700)","=ln(D436/D435)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G436-H436)*(G436-H436)"
"0","2019/08/09","8/9/2019 12:00:00 AM","$11.020","-0.0081","Natural Logarithm ($11.0200 / $11.1100)","=ln(D437/D436)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G437-H437)*(G437-H437)"
"0","2019/08/16","8/16/2019 12:00:00 AM","$11.040","0.0018","Natural Logarithm ($11.0400 / $11.0200)","=ln(D438/D437)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G438-H438)*(G438-H438)"
