ORDER_NUM,TRX_DT,TRX_DT_RAW,PRICE,CALC_VALUE,CALC_FORMULA,EXCEL_FORMULA,MEAN,SQUARE_OF_DIFF
"0","2020/08/01","8/1/2020 12:00:00 AM","$8.120","0.0000","Natural Logarithm ($8.1200 / $8.1200)","=ln(D76/D75)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G76-H76)*(G76-H76)"
"0","2020/09/01","9/1/2020 12:00:00 AM","$7.900","-0.0275","Natural Logarithm ($7.9000 / $8.1200)","=ln(D77/D76)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G77-H77)*(G77-H77)"
"0","2020/10/01","10/1/2020 12:00:00 AM","$7.290","-0.0804","Natural Logarithm ($7.2900 / $7.9000)","=ln(D78/D77)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G78-H78)*(G78-H78)"
"0","2020/11/01","11/1/2020 12:00:00 AM","$8.460","0.1488","Natural Logarithm ($8.4600 / $7.2900)","=ln(D79/D78)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G79-H79)*(G79-H79)"

"10","","12/31/2231 12:00:00 AM","Monthly SD:","0.0704","Standard Deviation (Natural Logarithm (Closing Price / Previous Closing Price))","","","=SQRT(SUM(I3:I79)/(COUNT(I3:I79)-1))"
"20","","12/31/2231 12:00:00 AM","Annualized SD:","0.2440","Standard Deviation (Natural Logarithm (Closing Price / Previous Closing Price)) X sqrt(12)","","","=I80*SQRT(12)"

"© This spreadsheet was generated from GEMSᵖᵐ: https://www.gemspm.com, and is copyrighted under Canadian, US and International laws."
Report Generated: Report; Generated on 2021/01/11 at 2:34
